event_id,activity,timestamp,object_ids,attr__quantity,attr__unit,attr__value,attr__currency,attr__material,attr__movement_type,attr__billing_category
e88,Create Invoice (from Delivery),2020-05-07T07:56:08+00:00,0080018927;0090040443,10.0,ST,4900.0,EUR, , ,O
e13,Create Goods Movement (from Order),2020-05-07T10:43:45+00:00,0000019087;4900005524,5.0,ST,1200.0,EUR,P-105,601, 
e14,Create Goods Movement (from Delivery),2020-05-07T10:43:45+00:00,0080018928;4900005524,5.0,ST,1200.0,EUR,P-105,601, 
e15,Create Invoice (from Order),2020-05-07T10:43:58+00:00,0000019087;0090040444,5.0,ST,2500.0,EUR, , ,L
e16,Create Invoice (from Delivery),2020-05-07T10:43:58+00:00,0080018928;0090040444,5.0,ST,2500.0,EUR, , ,L
e101,Create Goods Movement (from Order),2020-05-07T13:17:20+00:00,0000019088;4900005525,1.0,ST,240.0,EUR,P-105,601, 
e102,Create Goods Movement (from Delivery),2020-05-07T13:17:20+00:00,0080018929;4900005525,1.0,ST,240.0,EUR,P-105,601, 
e103,Create Goods Movement (from Order),2020-05-08T00:55:42+00:00,0000019089;4900005526,5.0,ST,1200.0,EUR,P-105,601, 
e104,Create Goods Movement (from Delivery),2020-05-08T00:55:42+00:00,0080018930;4900005526,5.0,ST,1200.0,EUR,P-105,601, 
e105,Create Invoice (from Order),2020-05-08T01:03:11+00:00,0000019089;0090040445,5.0,ST,2500.0,EUR, , ,L
e106,Create Invoice (from Delivery),2020-05-08T01:03:11+00:00,0080018930;0090040445,5.0,ST,2500.0,EUR, , ,L
e107,Create Goods Movement (from Order),2020-05-08T01:48:25+00:00,0000019090;4900005527,5.0,ST,3162.7,EUR,P-101,601, 
e108,Create Goods Movement (from Delivery),2020-05-08T01:48:25+00:00,0080018931;4900005527,5.0,ST,3162.7,EUR,P-101,601, 
e109,Create Invoice (from Order),2020-05-08T01:48:50+00:00,0000019090;0090040446,5.0,ST,13396.0,EUR, , ,L
e110,Create Invoice (from Delivery),2020-05-08T01:48:50+00:00,0080018931;0090040446,5.0,ST,13396.0,EUR, , ,L
e111,Create Goods Movement (from Order),2020-05-08T02:13:28+00:00,0000019091;4900005528,10.0,ST,6325.4,EUR,P-101,601, 
e112,Create Goods Movement (from Delivery),2020-05-08T02:13:28+00:00,0080018932;4900005528,10.0,ST,6325.4,EUR,P-101,601, 
e113,Create Invoice (from Order),2020-05-08T02:13:44+00:00,0000019091;0090040447,10.0,ST,28688.24,EUR, , ,L
e114,Create Invoice (from Delivery),2020-05-08T02:13:44+00:00,0080018932;0090040447,10.0,ST,28688.24,EUR, , ,L
e115,Create Goods Movement (from Order),2020-05-08T04:06:58+00:00,0000019092;4900005529,2.0,ST,1265.08,EUR,P-101,601, 
e116,Create Goods Movement (from Delivery),2020-05-08T04:06:58+00:00,0080018933;4900005529,2.0,ST,1265.08,EUR,P-101,601, 
e117,Create Invoice (from Order),2020-05-08T04:07:59+00:00,0000019092;0090040448,2.0,ST,5570.06,EUR, , ,L
e118,Create Invoice (from Delivery),2020-05-08T04:07:59+00:00,0080018933;0090040448,2.0,ST,5570.06,EUR, , ,L
e119,Create Goods Movement (from Order),2020-05-08T05:18:27+00:00,0000019093;4900005530,30.0,ST,18976.2,EUR,P-101,601, 
e120,Create Goods Movement (from Delivery),2020-05-08T05:18:27+00:00,0080018934;4900005530,30.0,ST,18976.2,EUR,P-101,601, 
e121,Create Invoice (from Order),2020-05-08T05:19:06+00:00,0000019093;0090040449,30.0,ST,87672.24,EUR, , ,L
e122,Create Invoice (from Delivery),2020-05-08T05:19:06+00:00,0080018934;0090040449,30.0,ST,87672.24,EUR, , ,L
e123,Create Goods Movement (from Order),2020-05-08T05:22:05+00:00,0000019094;4900005531,10.0,ST,5744.5,EUR,P-102,601, 
e124,Create Goods Movement (from Delivery),2020-05-08T05:22:05+00:00,0080018935;4900005531,10.0,ST,5744.5,EUR,P-102,601, 
e17,Create Invoice (from Delivery),2020-05-08T05:22:12+00:00,0080018935;0090040450,10.0,ST,302800.0,EUR, , ,L
e125,Create Invoice (from Order),2020-05-08T05:22:12+00:00,0000019094;0090040450,10.0,ST,302800.0,EUR, , ,L
e32,Create Goods Movement (from Order),2020-05-08T05:25:12+00:00,0000019095;4900005532,10.0,ST,5744.5,EUR,P-102,601, 
e33,Create Goods Movement (from Delivery),2020-05-08T05:25:12+00:00,0080018936;4900005532,10.0,ST,5744.5,EUR,P-102,601, 
e34,Create Invoice (from Order),2020-05-08T05:25:19+00:00,0000019095;0090040451,10.0,ST,802800.0,EUR, , ,L
e35,Create Invoice (from Delivery),2020-05-08T05:25:19+00:00,0080018936;0090040451,10.0,ST,802800.0,EUR, , ,L
e18,Create Goods Movement (from Order),2020-05-09T06:31:45+00:00,0000019096;4900005534,10.0,ST,5744.5,EUR,P-102,601, 
e19,Create Goods Movement (from Delivery),2020-05-09T06:31:45+00:00,0080018938;4900005534,10.0,ST,5744.5,EUR,P-102,601, 
e20,Create Invoice (from Order),2020-05-09T06:40:09+00:00,0000019096;0090040452,10.0,ST,67600.0,EUR, , ,L
e21,Create Invoice (from Delivery),2020-05-09T06:40:09+00:00,0080018938;0090040452,10.0,ST,67600.0,EUR, , ,L
e89,Create Goods Movement (from Order),2020-05-09T07:21:56+00:00,0000019101;4900005535,1.0,ST,574.45,EUR,P-102,601, 
e90,Create Goods Movement (from Delivery),2020-05-09T07:21:56+00:00,0080018940;4900005535,1.0,ST,574.45,EUR,P-102,601, 
e91,Create Goods Movement (from Order),2020-05-09T07:21:58+00:00,0000019105;4900005536,1.0,ST,574.45,EUR,P-102,601, 
e92,Create Goods Movement (from Order),2020-05-09T07:21:58+00:00,0000019105;4900005536,2.0,ST,1265.08,EUR,P-101,601, 
e93,Create Goods Movement (from Delivery),2020-05-09T07:21:58+00:00,0080018941;4900005536,1.0,ST,574.45,EUR,P-102,601, 
e94,Create Goods Movement (from Delivery),2020-05-09T07:21:58+00:00,0080018941;4900005536,2.0,ST,1265.08,EUR,P-101,601, 
e95,Create Goods Movement (from Order),2020-05-09T07:22:03+00:00,0000019102;4900005537,1.0,ST,574.45,EUR,P-102,601, 
e96,Create Goods Movement (from Delivery),2020-05-09T07:22:03+00:00,0080018942;4900005537,1.0,ST,574.45,EUR,P-102,601, 
e22,Create Goods Movement (from Order),2020-05-09T07:22:35+00:00,0000019106;4900005538,2.0,ST,1148.9,EUR,P-102,601, 
e23,Create Goods Movement (from Delivery),2020-05-09T07:22:35+00:00,0080018944;4900005538,2.0,ST,1148.9,EUR,P-102,601, 
e24,Create Goods Movement (from Order),2020-05-09T07:27:05+00:00,0000019104;4900005539,5.0,ST,2872.25,EUR,P-102,601, 
e25,Create Goods Movement (from Delivery),2020-05-09T07:27:05+00:00,0080018939;4900005539,5.0,ST,2872.25,EUR,P-102,601, 
e26,Create Goods Movement (from Order),2020-05-09T07:27:26+00:00,0000019103;4900005540,1.0,ST,574.45,EUR,P-102,601, 
e27,Create Goods Movement (from Delivery),2020-05-09T07:27:26+00:00,0080018943;4900005540,1.0,ST,574.45,EUR,P-102,601, 
e28,Create Goods Movement (from Order),2020-05-09T07:29:33+00:00,0000019107;4900005541,1.0,ST,574.45,EUR,P-102,601, 
e29,Create Goods Movement (from Delivery),2020-05-09T07:29:33+00:00,0080018945;4900005541,1.0,ST,574.45,EUR,P-102,601, 
e30,Create Invoice (from Order),2020-05-09T07:37:38+00:00,0000019105;0090040453,1.0,ST,6800.0,EUR, , ,L
e31,Create Invoice (from Order),2020-05-09T07:37:38+00:00,0000019105;0090040453,2.0,ST,9360.0,EUR, , ,L
e36,Create Invoice (from Delivery),2020-05-09T07:37:38+00:00,0080018941;0090040453,1.0,ST,6800.0,EUR, , ,L
e37,Create Invoice (from Delivery),2020-05-09T07:37:38+00:00,0080018941;0090040453,2.0,ST,9360.0,EUR, , ,L
e38,Create Invoice (from Order),2020-05-09T07:38:00+00:00,0000019107;0090040454,1.0,ST,6800.0,EUR, , ,L
e39,Create Invoice (from Delivery),2020-05-09T07:38:00+00:00,0080018945;0090040454,1.0,ST,6800.0,EUR, , ,L
e40,Create Invoice (from Order),2020-05-09T07:38:24+00:00,0000019106;0090040455,2.0,ST,13600.0,EUR, , ,L
e41,Create Invoice (from Delivery),2020-05-09T07:38:24+00:00,0080018944;0090040455,2.0,ST,13600.0,EUR, , ,L
e42,Create Invoice (from Order),2020-05-09T07:38:31+00:00,0000019104;0090040456,5.0,ST,34000.0,EUR, , ,L
e43,Create Invoice (from Delivery),2020-05-09T07:38:31+00:00,0080018939;0090040456,5.0,ST,34000.0,EUR, , ,L
e44,Create Invoice (from Order),2020-05-09T07:39:32+00:00,0000019103;0090040457,1.0,ST,1000.0,EUR, , ,L
e45,Create Invoice (from Delivery),2020-05-09T07:39:32+00:00,0080018943;0090040457,1.0,ST,1000.0,EUR, , ,L
e46,Create Invoice (from Order),2020-05-09T07:40:59+00:00,0000019102;0090040458,1.0,ST,6760.0,EUR, , ,L
e47,Create Invoice (from Delivery),2020-05-09T07:40:59+00:00,0080018942;0090040458,1.0,ST,6760.0,EUR, , ,L
e97,Create Quotation (from Inquiry),2020-06-28T11:08:54+00:00,0010000088;0020000275,0.0, ,800000.0,EUR, , , 
e98,Create Quotation (from Inquiry),2020-06-28T11:08:54+00:00,0010000088;0020000275,1.0,ST,800000.0,EUR, , , 
e49,Create Quotation (from Inquiry),2020-06-29T05:37:48+00:00,0010000089;0020000276,0.0, ,600000.0,EUR, , , 
e50,Create Quotation (from Inquiry),2020-06-29T05:37:48+00:00,0010000089;0020000276,1.0,ST,600000.0,EUR, , , 
e51,Create Order (from Inquiry),2020-06-29T05:42:46+00:00,0000019125;0010000089,1.0,ST,600000.0,EUR, , , 
e52,Create Order (from Quotation),2020-06-29T05:42:46+00:00,0000019125;0020000276,0.0, ,600000.0,EUR, , , 
e53,Create Order (from Quotation),2020-06-29T05:42:46+00:00,0000019125;0020000276,1.0,ST,600000.0,EUR, , , 
e48,Create Goods Movement (from Order),2020-06-30T07:10:18+00:00,0000019134;1828951000,1.0,ST,0.0,EUR,000000000000000757, , 
e54,Create Goods Movement (from Delivery),2020-06-30T07:10:18+00:00,0080018951;1828951000,1.0,ST,0.0,EUR,000000000000000757, , 
e55,Create Invoice (from Order),2020-06-30T07:11:37+00:00,0000019134;0090040459,1.0,ST,10.0,EUR, , ,L
e56,Create Invoice (from Delivery),2020-06-30T07:11:37+00:00,0080018951;0090040459,1.0,ST,10.0,EUR, , ,L
e57,Create Purchase Order (from Order),2020-06-30T11:13:48+00:00,0000019136;4500019826,5.0,ST,78.69,EUR, , , 
e58,Create Invoice (from Order),2020-07-03T06:58:04+00:00,0000019154;0090040460,1.0,ST,10.0,EUR, , ,L
e59,Create Invoice (from Delivery),2020-07-03T06:58:04+00:00,0080018953;0090040460,1.0,ST,10.0,EUR, , ,L
e60,Create Invoice (from Order),2020-07-03T07:16:52+00:00,0000019156;0090040461,1.0,ST,10.0,EUR, , ,L
e61,Create Invoice (from Delivery),2020-07-03T07:16:52+00:00,0080018955;0090040461,1.0,ST,10.0,EUR, , ,L
e62,Create Invoice (from Order),2020-07-03T07:18:05+00:00,0000019157;0090040462,1.0,ST,10.0,EUR, , ,L
e63,Create Invoice (from Delivery),2020-07-03T07:18:05+00:00,0080018956;0090040462,1.0,ST,10.0,EUR, , ,L
e64,Create Invoice (from Order),2020-07-03T07:41:43+00:00,0000019158;0090040463,1.0,ST,10.0,EUR, , ,L
e65,Create Invoice (from Delivery),2020-07-03T07:41:43+00:00,0080018957;0090040463,1.0,ST,10.0,EUR, , ,L
e66,Create Goods Movement (from Order),2020-07-09T13:13:01+00:00,0000019174;4900005628,1.0,ST,706.62,EUR,P-100,601, 
e67,Create Goods Movement (from Delivery),2020-07-09T13:13:01+00:00,0080018972;4900005628,1.0,ST,706.62,EUR,P-100,601, 
e68,Create Invoice (from Order),2020-07-09T13:13:36+00:00,0000019174;0090040464,1.0,ST,2600.0,EUR, , ,L
e69,Create Invoice (from Delivery),2020-07-09T13:13:36+00:00,0080018972;0090040464,1.0,ST,2600.0,EUR, , ,L
e70,Create Goods Movement (from Order),2020-07-09T23:15:28+00:00,0000019175;4900005629,1.0,ST,706.62,EUR,P-100,601, 
e71,Create Goods Movement (from Delivery),2020-07-09T23:15:28+00:00,0080018973;4900005629,1.0,ST,706.62,EUR,P-100,601, 
e72,Create Goods Movement (from Order),2020-07-11T01:47:21+00:00,0005000028;4900005630,1.0,ST,706.62,EUR,P-100,601, 
e73,Create Goods Movement (from Delivery),2020-07-11T01:47:21+00:00,0087000002;4900005630,1.0,ST,706.62,EUR,P-100,601, 
e201,Create Goods Movement (from Order),2020-07-11T01:50:41+00:00,0005000029;4900005631,1.0,ST,706.62,EUR,P-100,601, 
e202,Create Goods Movement (from Delivery),2020-07-11T01:50:41+00:00,0087000003;4900005631,1.0,ST,706.62,EUR,P-100,601, 
e177,Create Goods Movement (from Order),2020-07-11T02:22:20+00:00,0005000030;4900005632,1.0,ST,706.62,EUR,P-100,601, 
e178,Create Goods Movement (from Delivery),2020-07-11T02:22:20+00:00,0087000004;4900005632,1.0,ST,706.62,EUR,P-100,601, 
e126,Create Invoice (from Order),2020-07-11T02:22:25+00:00,0005000030;0090040465,1.0,ST,2600.0,EUR, , ,L
e127,Create Invoice (from Delivery),2020-07-11T02:22:25+00:00,0087000004;0090040465,1.0,ST,2600.0,EUR, , ,L
e154,Create Goods Movement (from Delivery),2020-07-19T12:40:17+00:00,0000019182;4900005645,1.0,ST,511291.88,EUR,T-20000N,281, 
e155,Create Goods Movement (from Order),2020-07-21T03:04:53+00:00,0000019188;4900005647,6.0,ST,3255.3,EUR,000000000000000578,601, 
e156,Create Goods Movement (from Delivery),2020-07-21T03:04:53+00:00,0080018976;4900005647,6.0,ST,3255.3,EUR,000000000000000578,601, 
e157,Create Invoice (from Order),2020-07-21T03:06:17+00:00,0000019188;0090040466,6.0,ST,3900.0,EUR, , ,L
e158,Create Invoice (from Delivery),2020-07-21T03:06:17+00:00,0080018976;0090040466,6.0,ST,3900.0,EUR, , ,L
e128,Create Goods Movement (from Order),2020-07-21T04:09:20+00:00,0000019189;4900005650,127.0,ST,0.0,EUR,T-AS100,601, 
e129,Create Goods Movement (from Delivery),2020-07-21T04:09:20+00:00,0080018977;4900005650,127.0,ST,0.0,EUR,T-AS100,601, 
e227,Create Goods Movement (from Order),2020-08-07T08:22:57+00:00,0000019194;4900005666,2.0,ST,1413.24,EUR,P-100,601, 
e228,Create Goods Movement (from Delivery),2020-08-07T08:22:57+00:00,0080018981;4900005666,2.0,ST,1413.24,EUR,P-100,601, 
e229,Create Goods Movement (from Order),2020-08-13T08:56:54+00:00,0000019197;4900005670,1.0,ST,706.62,EUR,P-100,601, 
e230,Create Goods Movement (from Order),2020-08-13T08:56:54+00:00,0000019197;4900005670,1.0,ST,632.54,EUR,P-101,601, 
e231,Create Goods Movement (from Delivery),2020-08-13T08:56:54+00:00,0080018982;4900005670,1.0,ST,706.62,EUR,P-100,601, 
e232,Create Goods Movement (from Delivery),2020-08-13T08:56:54+00:00,0080018982;4900005670,1.0,ST,632.54,EUR,P-101,601, 
e233,Create Invoice (from Order),2020-08-13T08:57:06+00:00,0000019197;0090040467,1.0,ST,2600.0,EUR, , ,L
e234,Create Invoice (from Order),2020-08-13T08:57:06+00:00,0000019197;0090040467,1.0,ST,2679.2,EUR, , ,L
e235,Create Invoice (from Delivery),2020-08-13T08:57:06+00:00,0080018982;0090040467,1.0,ST,2600.0,EUR, , ,L
e236,Create Invoice (from Delivery),2020-08-13T08:57:06+00:00,0080018982;0090040467,1.0,ST,2679.2,EUR, , ,L
e130,Create Goods Movement (from Order),2020-08-13T23:52:35+00:00,0000019198;4900005671,2.0,ST,1413.24,EUR,P-100,601, 
e131,Create Goods Movement (from Order),2020-08-13T23:52:35+00:00,0000019198;4900005671,2.0,ST,1265.08,EUR,P-101,601, 
e132,Create Goods Movement (from Delivery),2020-08-13T23:52:35+00:00,0080018983;4900005671,2.0,ST,1413.24,EUR,P-100,601, 
e133,Create Goods Movement (from Delivery),2020-08-13T23:52:35+00:00,0080018983;4900005671,2.0,ST,1265.08,EUR,P-101,601, 
e134,Create Invoice (from Order),2020-08-13T23:52:44+00:00,0000019198;0090040468,2.0,ST,5200.0,EUR, , ,L
e135,Create Invoice (from Order),2020-08-13T23:52:44+00:00,0000019198;0090040468,2.0,ST,5358.4,EUR, , ,L
e136,Create Invoice (from Delivery),2020-08-13T23:52:44+00:00,0080018983;0090040468,2.0,ST,5200.0,EUR, , ,L
e137,Create Invoice (from Delivery),2020-08-13T23:52:44+00:00,0080018983;0090040468,2.0,ST,5358.4,EUR, , ,L
e203,Create Goods Movement (from Order),2020-08-16T12:23:48+00:00,0005000038;4900005672,1.0,ST,706.62,EUR,P-100,601, 
e204,Create Goods Movement (from Order),2020-08-16T12:23:48+00:00,0005000038;4900005672,4.0,ST,2530.16,EUR,P-101,601, 
e205,Create Goods Movement (from Delivery),2020-08-16T12:23:48+00:00,0087000007;4900005672,1.0,ST,706.62,EUR,P-100,601, 
e206,Create Goods Movement (from Delivery),2020-08-16T12:23:48+00:00,0087000007;4900005672,4.0,ST,2530.16,EUR,P-101,601, 
e237,Create Invoice (from Order),2020-08-16T12:23:54+00:00,0005000038;0090040469,1.0,ST,2600.0,EUR, , ,L
e238,Create Invoice (from Order),2020-08-16T12:23:54+00:00,0005000038;0090040469,4.0,ST,10716.8,EUR, , ,L
e239,Create Invoice (from Delivery),2020-08-16T12:23:54+00:00,0087000007;0090040469,1.0,ST,2600.0,EUR, , ,L
e240,Create Invoice (from Delivery),2020-08-16T12:23:54+00:00,0087000007;0090040469,4.0,ST,10716.8,EUR, , ,L
e241,Create Goods Movement (from Order),2020-08-16T23:04:41+00:00,0005000040;2300009000,0.0,ST,0.0,EUR,P-100, , 
e242,Create Goods Movement (from Order),2020-08-16T23:04:41+00:00,0005000040;4900005673,4.0,ST,2530.16,EUR,P-101,601, 
e243,Create Goods Movement (from Delivery),2020-08-16T23:04:41+00:00,0087000009;2300009000,0.0,ST,0.0,EUR,P-100, , 
e244,Create Goods Movement (from Delivery),2020-08-16T23:04:41+00:00,0087000009;4900005673,4.0,ST,2530.16,EUR,P-101,601, 
e159,Create Invoice (from Order),2020-08-16T23:04:47+00:00,0005000040;0090040470,0.0,ST,0.0,EUR, , ,L
e160,Create Invoice (from Order),2020-08-16T23:04:47+00:00,0005000040;0090040470,4.0,ST,10716.8,EUR, , ,L
e161,Create Invoice (from Delivery),2020-08-16T23:04:47+00:00,0087000009;0090040470,0.0,ST,0.0,EUR, , ,L
e162,Create Invoice (from Delivery),2020-08-16T23:04:47+00:00,0087000009;0090040470,4.0,ST,10716.8,EUR, , ,L
e138,Create Goods Movement (from Order),2020-08-16T23:28:00+00:00,0005002002;2300010000,0.0,ST,0.0,EUR,P-100, , 
e139,Create Goods Movement (from Order),2020-08-16T23:28:00+00:00,0005002002;4900005674,4.0,ST,2530.16,EUR,P-101,601, 
e140,Create Goods Movement (from Delivery),2020-08-16T23:28:00+00:00,0087000010;2300010000,0.0,ST,0.0,EUR,P-100, , 
e141,Create Goods Movement (from Delivery),2020-08-16T23:28:00+00:00,0087000010;4900005674,4.0,ST,2530.16,EUR,P-101,601, 
e142,Create Invoice (from Order),2020-08-16T23:28:13+00:00,0005002002;0090040471,0.0,ST,0.0,EUR, , ,L
e143,Create Invoice (from Order),2020-08-16T23:28:13+00:00,0005002002;0090040471,4.0,ST,10716.8,EUR, , ,L
e144,Create Invoice (from Delivery),2020-08-16T23:28:13+00:00,0087000010;0090040471,0.0,ST,0.0,EUR, , ,L
e145,Create Invoice (from Delivery),2020-08-16T23:28:13+00:00,0087000010;0090040471,4.0,ST,10716.8,EUR, , ,L
e163,Create Goods Movement (from Order),2020-08-16T23:31:57+00:00,0005002003;2300011000,0.0,ST,0.0,EUR,P-100, , 
e164,Create Goods Movement (from Order),2020-08-16T23:31:57+00:00,0005002003;4900005675,4.0,ST,2530.16,EUR,P-101,601, 
e165,Create Goods Movement (from Delivery),2020-08-16T23:31:57+00:00,0087000011;2300011000,0.0,ST,0.0,EUR,P-100, , 
e166,Create Goods Movement (from Delivery),2020-08-16T23:31:57+00:00,0087000011;4900005675,4.0,ST,2530.16,EUR,P-101,601, 
e146,Create Invoice (from Order),2020-08-16T23:32:07+00:00,0005002003;0090040472,0.0,ST,0.0,EUR, , ,L
e147,Create Invoice (from Order),2020-08-16T23:32:07+00:00,0005002003;0090040472,4.0,ST,10716.8,EUR, , ,L
e148,Create Invoice (from Delivery),2020-08-16T23:32:07+00:00,0087000011;0090040472,0.0,ST,0.0,EUR, , ,L
e149,Create Invoice (from Delivery),2020-08-16T23:32:07+00:00,0087000011;0090040472,4.0,ST,10716.8,EUR, , ,L
e179,Create Goods Movement (from Order),2020-08-16T23:36:23+00:00,0005002004;2300012000,0.0,ST,0.0,EUR,P-100, , 
e180,Create Goods Movement (from Order),2020-08-16T23:36:23+00:00,0005002004;4900005676,4.0,ST,2530.16,EUR,P-101,601, 
e181,Create Goods Movement (from Delivery),2020-08-16T23:36:23+00:00,0087000012;2300012000,0.0,ST,0.0,EUR,P-100, , 
e182,Create Goods Movement (from Delivery),2020-08-16T23:36:23+00:00,0087000012;4900005676,4.0,ST,2530.16,EUR,P-101,601, 
e150,Create Invoice (from Order),2020-08-16T23:36:32+00:00,0005002004;0090040473,0.0,ST,0.0,EUR, , ,L
e151,Create Invoice (from Order),2020-08-16T23:36:32+00:00,0005002004;0090040473,4.0,ST,10716.8,EUR, , ,L
e152,Create Invoice (from Delivery),2020-08-16T23:36:32+00:00,0087000012;0090040473,0.0,ST,0.0,EUR, , ,L
e153,Create Invoice (from Delivery),2020-08-16T23:36:32+00:00,0087000012;0090040473,4.0,ST,10716.8,EUR, , ,L
e167,Create Goods Movement (from Order),2020-08-16T23:40:26+00:00,0005002005;2300013000,0.0,ST,0.0,EUR,P-100, , 
e168,Create Goods Movement (from Order),2020-08-16T23:40:26+00:00,0005002005;4900005677,4.0,ST,2530.16,EUR,P-101,601, 
e169,Create Goods Movement (from Delivery),2020-08-16T23:40:26+00:00,0087000013;2300013000,0.0,ST,0.0,EUR,P-100, , 
e170,Create Goods Movement (from Delivery),2020-08-16T23:40:26+00:00,0087000013;4900005677,4.0,ST,2530.16,EUR,P-101,601, 
e171,Create Invoice (from Order),2020-08-16T23:40:38+00:00,0005002005;0090040474,0.0,ST,0.0,EUR, , ,L
e172,Create Invoice (from Order),2020-08-16T23:40:38+00:00,0005002005;0090040474,4.0,ST,10716.8,EUR, , ,L
e173,Create Invoice (from Delivery),2020-08-16T23:40:38+00:00,0087000013;0090040474,0.0,ST,0.0,EUR, , ,L
e174,Create Invoice (from Delivery),2020-08-16T23:40:38+00:00,0087000013;0090040474,4.0,ST,10716.8,EUR, , ,L
e175,Create Goods Movement (from Order),2020-08-16T23:44:57+00:00,0005002006;2300014000,0.0,ST,0.0,EUR,P-100, , 
e176,Create Goods Movement (from Order),2020-08-16T23:44:57+00:00,0005002006;4900005678,4.0,ST,2530.16,EUR,P-101,601, 
e183,Create Goods Movement (from Delivery),2020-08-16T23:44:57+00:00,0087000014;2300014000,0.0,ST,0.0,EUR,P-100, , 
e184,Create Goods Movement (from Delivery),2020-08-16T23:44:57+00:00,0087000014;4900005678,4.0,ST,2530.16,EUR,P-101,601, 
e207,Create Invoice (from Order),2020-08-16T23:45:08+00:00,0005002006;0090040475,0.0,ST,0.0,EUR, , ,L
e208,Create Invoice (from Order),2020-08-16T23:45:08+00:00,0005002006;0090040475,4.0,ST,10716.8,EUR, , ,L
e209,Create Invoice (from Delivery),2020-08-16T23:45:08+00:00,0087000014;0090040475,0.0,ST,0.0,EUR, , ,L
e210,Create Invoice (from Delivery),2020-08-16T23:45:08+00:00,0087000014;0090040475,4.0,ST,10716.8,EUR, , ,L
