object_id,object_type,attr__vbtyp_code
0090040445,Invoice,M
0000019090,Order,C
4900005527,Goods Movement,R
0080018931,Delivery,J
0090040446,Invoice,M
0000019091,Order,C
4900005528,Goods Movement,R
0080018932,Delivery,J
0090040447,Invoice,M
0000019092,Order,C
4900005529,Goods Movement,R
0080018933,Delivery,J
0090040448,Invoice,M
0000019093,Order,C
4900005530,Goods Movement,R
0080018934,Delivery,J
0090040449,Invoice,M
0000019094,Order,C
4900005531,Goods Movement,R
0005000030,Order,C
0090040465,Invoice,M
0087000004,Delivery,J
0000019189,Order,C
4900005650,Goods Movement,R
0080018977,Delivery,J
0000019198,Order,C
4900005671,Goods Movement,R
0080018983,Delivery,J
0090040468,Invoice,M
0005002002,Order,C
2300010000,Goods Movement,R
4900005674,Goods Movement,R
0087000010,Delivery,J
0090040471,Invoice,M
0005002003,Order,C
0090040472,Invoice,M
0087000011,Delivery,J
0005002004,Order,C
0090040473,Invoice,M
0087000012,Delivery,J
0000019182,Delivery,J
4900005645,Goods Movement,R
0000019188,Order,C
4900005647,Goods Movement,R
0080018976,Delivery,J
0090040466,Invoice,M
0005000040,Order,C
0090040470,Invoice,M
0087000009,Delivery,J
2300011000,Goods Movement,R
4900005675,Goods Movement,R
0005002005,Order,C
2300013000,Goods Movement,R
4900005677,Goods Movement,R
0087000013,Delivery,J
0090040474,Invoice,M
0005002006,Order,C
2300014000,Goods Movement,R
4900005678,Goods Movement,R
4900005632,Goods Movement,R
2300012000,Goods Movement,R
4900005676,Goods Movement,R
0087000014,Delivery,J
0005002007,Order,C
2300015000,Goods Movement,R
4900005679,Goods Movement,R
0087000015,Delivery,J
0090040476,Invoice,M
0005002008,Order,C
2300016000,Goods Movement,R
4900005680,Goods Movement,R
0087000016,Delivery,J
0090040477,Invoice,M
0005000029,Order,C
4900005631,Goods Movement,R
0087000003,Delivery,J
0005000038,Order,C
4900005672,Goods Movement,R
0087000007,Delivery,J
0090040475,Invoice,M
0005002009,Order,C
2300017000,Goods Movement,R
4900005681,Goods Movement,R
0087000017,Delivery,J
0090040478,Invoice,M
0005002010,Order,C
2300018000,Goods Movement,R
4900005682,Goods Movement,R
0087000018,Delivery,J
0090040479,Invoice,M
0000019194,Order,C
4900005666,Goods Movement,R
0080018981,Delivery,J
0000019197,Order,C
4900005670,Goods Movement,R
0080018982,Delivery,J
0090040467,Invoice,M
0090040469,Invoice,M
2300009000,Goods Movement,R
4900005673,Goods Movement,R
0000019241,Order,C
4900005877,Goods Movement,R
0080019013,Delivery,J
0005004281,Order,C
4900005934,Goods Movement,R
0087000424,Delivery,J
0005004208,Order,C
4900005941,Goods Movement,R
0087000351,Delivery,J
0005004260,Order,C
4900005947,Goods Movement,R
0087000403,Delivery,J
0005001106,Quotation,B
0005004308,Order,C
0005001108,Quotation,B
0005004311,Order,C
0005001110,Quotation,B
0005004313,Order,C
0005001111,Quotation,B
0005004314,Order,C
0005001112,Quotation,B
0005004315,Order,C
0005004332,Order,C
4900000004,Goods Movement,R
0087000471,Delivery,J
0005004330,Order,C
4900000005,Goods Movement,R
0087000468,Delivery,J
0005004342,Order,C
0090482000,Goods Movement,R
0087000482,Delivery,J
0005004432,Order,C
0090573000,Goods Movement,R
4900000022,Goods Movement,R
0087000573,Delivery,J
0005004474,Order,C
4900000036,Goods Movement,R
0087000615,Delivery,J
0005004478,Order,C
4900000039,Goods Movement,R
0087000619,Delivery,J
0005001049,Quotation,B
0005004279,Order,C
0005001051,Quotation,B
0005004284,Order,C
0005001052,Quotation,B
0005004285,Order,C
0005001054,Quotation,B
0005004287,Order,C
0005001056,Quotation,B
0005004294,Order,C
0005001178,Quotation,B
0005004350,Order,C
0015000074,Inquiry,A
0005001184,Quotation,B
0005004348,Order,C
0090040610,Invoice,M
0087000489,Delivery,J
0015000070,Inquiry,A
0005001185,Quotation,B
0015000076,Inquiry,A
0005001186,Quotation,B
0005004354,Order,C
0015000078,Inquiry,A
0005001187,Quotation,B
0005004355,Order,C
0015000260,Inquiry,A
0005001368,Quotation,B
0005004535,Order,C
0090040682,Invoice,M
0087000676,Delivery,J
0015000261,Inquiry,A
0005001369,Quotation,B
0005004536,Order,C
0090040683,Invoice,M
0087000677,Delivery,J
0015000262,Inquiry,A
0005001370,Quotation,B
0005004537,Order,C
0090040684,Invoice,M
0087000678,Delivery,J
0015000263,Inquiry,A
0005001371,Quotation,B
0020000277,Quotation,B
0000019214,Order,C
0005004542,Order,C
4900000094,Goods Movement,R
0087000683,Delivery,J
0005004545,Order,C
4900000096,Goods Movement,R
0087000686,Delivery,J
0005004578,Order,C
4900000123,Goods Movement,R
0087000719,Delivery,J
0005004582,Order,C
4900000126,Goods Movement,R
0087000723,Delivery,J
0005004612,Order,C
4900000153,Goods Movement,R
0100753000,Goods Movement,R
0087000753,Delivery,J
0087000763,Delivery,J
0100763000,Goods Movement,R
0005004624,Order,C
0090040760,Invoice,M
0087000765,Delivery,J
0005004626,Order,C
4900000167,Goods Movement,R
0100767000,Goods Movement,R
0087000767,Delivery,J
0090040762,Invoice,M
0005004562,Order,C
4900000110,Goods Movement,R
0087000703,Delivery,J
0005004568,Order,C
4900000115,Goods Movement,R
0087000709,Delivery,J
0005004569,Order,C
4900000116,Goods Movement,R
0087000710,Delivery,J
0005004590,Order,C
4900000133,Goods Movement,R
0087000731,Delivery,J
0005004597,Order,C
4900000140,Goods Movement,R
0087000738,Delivery,J
0005004606,Order,C
4900000148,Goods Movement,R
0087000747,Delivery,J
0005004609,Order,C
4900000150,Goods Movement,R
0087000750,Delivery,J
0005004651,Order,C
0090040787,Invoice,M
0087000792,Delivery,J
0005004652,Order,C
0090040788,Invoice,M
0087000793,Delivery,J
0005004653,Order,C
0090040789,Invoice,M
0087000794,Delivery,J
0005004654,Order,C
0090040790,Invoice,M
0087000795,Delivery,J
0005004629,Order,C
0090040765,Invoice,M
0087000770,Delivery,J
0005004630,Order,C
4900000171,Goods Movement,R
0100771000,Goods Movement,R
0087000771,Delivery,J
0005004631,Order,C
4900000172,Goods Movement,R
0100772000,Goods Movement,R
0087000772,Delivery,J
0005004632,Order,C
4900000173,Goods Movement,R
0100773000,Goods Movement,R
0087000773,Delivery,J
0005004634,Order,C
4900000175,Goods Movement,R
0100775000,Goods Movement,R
0087000775,Delivery,J
0090040770,Invoice,M
0005004635,Order,C
0090040771,Invoice,M
0087000776,Delivery,J
0005004636,Order,C
0090040772,Invoice,M
0087000777,Delivery,J
0005004637,Order,C
0090040773,Invoice,M
0087000778,Delivery,J
0015000264,Inquiry,A
0005001372,Quotation,B
0087000802,Delivery,J
0100802000,Goods Movement,R
0005004661,Order,C
0090040797,Invoice,M
0005004662,Order,C
4900000203,Goods Movement,R
0100803000,Goods Movement,R
0087000803,Delivery,J
0090040798,Invoice,M
0005004663,Order,C
0090040799,Invoice,M
0087000804,Delivery,J
0005004664,Order,C
0090040800,Invoice,M
0087000805,Delivery,J
0015000018,Inquiry,A
0005001129,Quotation,B
0005004324,Order,C
0090040591,Invoice,M
0087000463,Delivery,J
0015000023,Inquiry,A
0005001130,Quotation,B
0015000020,Inquiry,A
0005001131,Quotation,B
0005004331,Order,C
0005004638,Order,C
0090040774,Invoice,M
0087000779,Delivery,J
0005004639,Order,C
0090040775,Invoice,M
0087000780,Delivery,J
0005004640,Order,C
4900000181,Goods Movement,R
0100781000,Goods Movement,R
0087000781,Delivery,J
0090040776,Invoice,M
0005004641,Order,C
0090040777,Invoice,M
0087000782,Delivery,J
0005004642,Order,C
0090040778,Invoice,M
0087000783,Delivery,J
0005004655,Order,C
4900000196,Goods Movement,R
0100796000,Goods Movement,R
0087000796,Delivery,J
0090040791,Invoice,M
0005004656,Order,C
4900000197,Goods Movement,R
0100797000,Goods Movement,R
0087000797,Delivery,J
0090040792,Invoice,M
0005004657,Order,C
0090040793,Invoice,M
0087000798,Delivery,J
0005004658,Order,C
4900000199,Goods Movement,R
0100799000,Goods Movement,R
0087000799,Delivery,J
0090040794,Invoice,M
0005004659,Order,C
4900000200,Goods Movement,R
0100800000,Goods Movement,R
0005004643,Order,C
0090040779,Invoice,M
0087000784,Delivery,J
0005004644,Order,C
4900000185,Goods Movement,R
0100785000,Goods Movement,R
0087000785,Delivery,J
0090040780,Invoice,M
0005004645,Order,C
4900000186,Goods Movement,R
0100786000,Goods Movement,R
0087000786,Delivery,J
0090040781,Invoice,M
0005004646,Order,C
0090040782,Invoice,M
0087000787,Delivery,J
0005004647,Order,C
0090040783,Invoice,M
0087000788,Delivery,J
0005004648,Order,C
0090040784,Invoice,M
0005002033,Order,C
0090040501,Invoice,M
0087000041,Delivery,J
0005002034,Order,C
0090040502,Invoice,M
0087000042,Delivery,J
0005002035,Order,C
0090040503,Invoice,M
0087000043,Delivery,J
0005002036,Order,C
0090040504,Invoice,M
0087000044,Delivery,J
0005002039,Order,C
0090040507,Invoice,M
0087000047,Delivery,J
0005002040,Order,C
0090040508,Invoice,M
0087000048,Delivery,J
0005002041,Order,C
0090040509,Invoice,M
0087000049,Delivery,J
0000019222,Order,C
4900005821,Goods Movement,R
3048999000,Goods Movement,R
3048999001,Goods Movement,R
3048999002,Goods Movement,R
3048999003,Goods Movement,R
0080019011,Delivery,J
3429011000,Goods Movement,R
4900005872,Goods Movement,R
0000019230,Order,C
4900005873,Goods Movement,R
0080019012,Delivery,J
0005001000,Quotation,B
0005004203,Order,C
0090040517,Invoice,M
0087000340,Delivery,J
0005004204,Order,C
0090040518,Invoice,M
0087000341,Delivery,J
0005001004,Quotation,B
0005004205,Order,C
0090040519,Invoice,M
0087000342,Delivery,J
0005001014,Quotation,B
0005004218,Order,C
0005001021,Quotation,B
0005004230,Order,C
0005001044,Quotation,B
0005004271,Order,C
0005001062,Quotation,B
0005004304,Order,C
0005002026,Order,C
2300034000,Goods Movement,R
4900005697,Goods Movement,R
0087000034,Delivery,J
0005002030,Order,C
2300038000,Goods Movement,R
4900005701,Goods Movement,R
0087000038,Delivery,J
0087000800,Delivery,J
0090040795,Invoice,M
0005004660,Order,C
4900000201,Goods Movement,R
0100801000,Goods Movement,R
0087000801,Delivery,J
0090040796,Invoice,M
4900000202,Goods Movement,R
0005004482,Order,C
4900000043,Goods Movement,R
0087000623,Delivery,J
0005004486,Order,C
4900000046,Goods Movement,R
0087000627,Delivery,J
0005004492,Order,C
4900000052,Goods Movement,R
0087000633,Delivery,J
0005004497,Order,C
4900000056,Goods Movement,R
0087000638,Delivery,J
0005004498,Order,C
4900000057,Goods Movement,R
0087000639,Delivery,J
0005004499,Order,C
4900000058,Goods Movement,R
0087000640,Delivery,J
0005004503,Order,C
4900000061,Goods Movement,R
0087000644,Delivery,J
0005004504,Order,C
4900000062,Goods Movement,R
0087000645,Delivery,J
0015000287,Inquiry,A
0005001395,Quotation,B
0015000288,Inquiry,A
0005001396,Quotation,B
0005004556,Order,C
0090040699,Invoice,M
0087000697,Delivery,J
0015000289,Inquiry,A
0005001397,Quotation,B
0005004557,Order,C
0015000293,Inquiry,A
0005001401,Quotation,B
0005004560,Order,C
0090040703,Invoice,M
0087000701,Delivery,J
0015000294,Inquiry,A
0005001402,Quotation,B
0005004561,Order,C
0090040704,Invoice,M
0087000702,Delivery,J
0015000295,Inquiry,A
0005001403,Quotation,B
0005001408,Quotation,B
0005004565,Order,C
0005004225,Order,C
0090040522,Invoice,M
0087000368,Delivery,J
0005004244,Order,C
0090040532,Invoice,M
0087000387,Delivery,J
0005004276,Order,C
0090040533,Invoice,M
0087000419,Delivery,J
0005004221,Order,C
0090040534,Invoice,M
0087000364,Delivery,J
0005004266,Order,C
0090040535,Invoice,M
0087000409,Delivery,J
0005004280,Order,C
0090040536,Invoice,M
0087000423,Delivery,J
0005004289,Order,C
0090040537,Invoice,M
0087000432,Delivery,J
0005004216,Order,C
0090040538,Invoice,M
0087000359,Delivery,J
0005004207,Order,C
0090040539,Invoice,M
0087000350,Delivery,J
0005004263,Order,C
0090040540,Invoice,M
0087000406,Delivery,J
0005004282,Order,C
0090040548,Invoice,M
0087000425,Delivery,J
0090040549,Invoice,M
0087000373,Delivery,J
0005004251,Order,C
0090040550,Invoice,M
0087000394,Delivery,J
0015000235,Inquiry,A
0005001343,Quotation,B
0015000236,Inquiry,A
0005001344,Quotation,B
0005004517,Order,C
0090040668,Invoice,M
0087000658,Delivery,J
0015000237,Inquiry,A
0005001345,Quotation,B
0005004518,Order,C
0015000244,Inquiry,A
0005001352,Quotation,B
0005004527,Order,C
0090040677,Invoice,M
0087000668,Delivery,J
0015000256,Inquiry,A
0005001364,Quotation,B
0015000259,Inquiry,A
0005001367,Quotation,B
0005004538,Order,C
0015000268,Inquiry,A
0005001376,Quotation,B
0005004541,Order,C
0090040688,Invoice,M
0087000682,Delivery,J
0015000269,Inquiry,A
0005001377,Quotation,B
0090040689,Invoice,M
0015000270,Inquiry,A
0005001378,Quotation,B
0005004543,Order,C
0090040690,Invoice,M
0087000684,Delivery,J
0005004547,Order,C
0090040693,Invoice,M
0087000688,Delivery,J
0015000277,Inquiry,A
0005001385,Quotation,B
0005004549,Order,C
0090040695,Invoice,M
0087000690,Delivery,J
0015000279,Inquiry,A
0005001387,Quotation,B
0015000280,Inquiry,A
0005001388,Quotation,B
0005004550,Order,C
0090040696,Invoice,M
0087000691,Delivery,J
0015000281,Inquiry,A
0005001389,Quotation,B
0005004551,Order,C
0005004494,Order,C
4900000053,Goods Movement,R
0087000635,Delivery,J
0005004513,Order,C
4900000070,Goods Movement,R
0087000654,Delivery,J
0090040707,Invoice,M
0087000706,Delivery,J
0015000301,Inquiry,A
0005001409,Quotation,B
0015000306,Inquiry,A
0005001414,Quotation,B
0005004570,Order,C
0090040712,Invoice,M
0087000711,Delivery,J
0015000307,Inquiry,A
0005001415,Quotation,B
0015000308,Inquiry,A
0005001416,Quotation,B
0005004571,Order,C
0090040713,Invoice,M
0087000712,Delivery,J
0015000309,Inquiry,A
0005001417,Quotation,B
0005004572,Order,C
0015000310,Inquiry,A
0005001418,Quotation,B
0005004573,Order,C
0090040714,Invoice,M
0087000714,Delivery,J
0015000311,Inquiry,A
0005001419,Quotation,B
0005001420,Quotation,B
0005004574,Order,C
0090040715,Invoice,M
0087000715,Delivery,J
0015000314,Inquiry,A
0005001422,Quotation,B
0005004576,Order,C
0090040716,Invoice,M
0087000717,Delivery,J
0015000315,Inquiry,A
0005001423,Quotation,B
0015000316,Inquiry,A
0005001424,Quotation,B
0005004577,Order,C
0005004625,Order,C
0090040761,Invoice,M
0087000766,Delivery,J
0005004627,Order,C
0090040763,Invoice,M
0087000768,Delivery,J
0005004628,Order,C
0090040764,Invoice,M
0087000769,Delivery,J
0090040766,Invoice,M
0090040767,Invoice,M
0090040768,Invoice,M
0005004633,Order,C
0090040769,Invoice,M
0087000774,Delivery,J
0005002011,Order,C
0090040480,Invoice,M
0087000019,Delivery,J
0005002012,Order,C
0090040481,Invoice,M
0087000020,Delivery,J
0005002018,Order,C
0090040487,Invoice,M
0087000026,Delivery,J
0090040697,Invoice,M
0087000692,Delivery,J
0015000282,Inquiry,A
0005001390,Quotation,B
0005004552,Order,C
0090040698,Invoice,M
0087000693,Delivery,J
0015000286,Inquiry,A
0005001394,Quotation,B
0005004555,Order,C
0090040700,Invoice,M
0087000698,Delivery,J
0015000290,Inquiry,A
0005001398,Quotation,B
0005004558,Order,C
0090040701,Invoice,M
0087000699,Delivery,J
0015000291,Inquiry,A
0005001399,Quotation,B
0015000292,Inquiry,A
0005001400,Quotation,B
0005004559,Order,C
0090040702,Invoice,M
0087000700,Delivery,J
0015000296,Inquiry,A
0005001404,Quotation,B
0090040705,Invoice,M
0015000297,Inquiry,A
0005001405,Quotation,B
0005004563,Order,C
0005004215,Order,C
0090040551,Invoice,M
0087000358,Delivery,J
0005004292,Order,C
0090040552,Invoice,M
0087000435,Delivery,J
0005004256,Order,C
0090040555,Invoice,M
0087000399,Delivery,J
0005004298,Order,C
0090040556,Invoice,M
0087000441,Delivery,J
0005004293,Order,C
0090040567,Invoice,M
0087000436,Delivery,J
0005004233,Order,C
0090040568,Invoice,M
0087000376,Delivery,J
0005004253,Order,C
0090040569,Invoice,M
0087000396,Delivery,J
0005004247,Order,C
0090040573,Invoice,M
0087000390,Delivery,J
0090040574,Invoice,M
0087000414,Delivery,J
0005004228,Order,C
0090040575,Invoice,M
0087000371,Delivery,J
0090040576,Invoice,M
0087000447,Delivery,J
0005004329,Order,C
4900000002,Goods Movement,R
0087000467,Delivery,J
0005004337,Order,C
4900000008,Goods Movement,R
0087000476,Delivery,J
0005004349,Order,C
0090490000,Goods Movement,R
0087000490,Delivery,J
0005004431,Order,C
0090572000,Goods Movement,R
4900000021,Goods Movement,R
0000019165,Order,C
0090040514,Invoice,M
0080018958,Delivery,J
0000019155,Order,C
0090040515,Invoice,M
0080018954,Delivery,J
0015000298,Inquiry,A
0005001406,Quotation,B
0005004564,Order,C
0090040706,Invoice,M
0087000705,Delivery,J
0015000299,Inquiry,A
0005001407,Quotation,B
0015000300,Inquiry,A
0005004566,Order,C
0090040708,Invoice,M
0087000707,Delivery,J
0015000302,Inquiry,A
0005001410,Quotation,B
0005004567,Order,C
0090040709,Invoice,M
0087000708,Delivery,J
0015000303,Inquiry,A
0005001411,Quotation,B
0015000304,Inquiry,A
0005001412,Quotation,B
0090040710,Invoice,M
0015000305,Inquiry,A
0005001413,Quotation,B
0090040711,Invoice,M
0015000312,Inquiry,A
0090040717,Invoice,M
0087000718,Delivery,J
0015000317,Inquiry,A
0005001425,Quotation,B
0090040721,Invoice,M
0015000323,Inquiry,A
0005001431,Quotation,B
0015000324,Inquiry,A
0005001432,Quotation,B
0005004586,Order,C
0090040725,Invoice,M
0087000727,Delivery,J
0015000329,Inquiry,A
0005001437,Quotation,B
0005004587,Order,C
0090040726,Invoice,M
0087000728,Delivery,J
0015000330,Inquiry,A
0005001438,Quotation,B
0005004588,Order,C
0005004344,Order,C
0090485000,Goods Movement,R
0087000485,Delivery,J
0005004341,Order,C
4900000012,Goods Movement,R
0087000479,Delivery,J
0087000572,Delivery,J
0005004464,Order,C
4900000030,Goods Movement,R
0087000605,Delivery,J
0005004465,Order,C
4900000031,Goods Movement,R
0087000606,Delivery,J
0005004476,Order,C
4900000037,Goods Movement,R
0087000617,Delivery,J
0090040685,Invoice,M
0087000679,Delivery,J
0015000265,Inquiry,A
0005001373,Quotation,B
0005004539,Order,C
0090040686,Invoice,M
0087000680,Delivery,J
0015000266,Inquiry,A
0005001374,Quotation,B
0005004540,Order,C
0005002025,Order,C
2300033000,Goods Movement,R
4900005696,Goods Movement,R
0087000033,Delivery,J
2300044000,Goods Movement,R
4900005707,Goods Movement,R
2300049000,Goods Movement,R
4900005712,Goods Movement,R
0005004485,Order,C
4900000045,Goods Movement,R
0087000626,Delivery,J
0005004508,Order,C
4900000066,Goods Movement,R
0087000649,Delivery,J
0005004514,Order,C
4900000071,Goods Movement,R
0087000655,Delivery,J
0015000336,Inquiry,A
0005001444,Quotation,B
0005004592,Order,C
0015000340,Inquiry,A
0005001448,Quotation,B
0005004595,Order,C
0090040733,Invoice,M
0087000736,Delivery,J
0015000341,Inquiry,A
0005001449,Quotation,B
0005004596,Order,C
0090040734,Invoice,M
0087000737,Delivery,J
0015000342,Inquiry,A
0005001450,Quotation,B
0015000345,Inquiry,A
0005001453,Quotation,B
0005004599,Order,C
0090040736,Invoice,M
0087000740,Delivery,J
0015000346,Inquiry,A
0005001454,Quotation,B
0005004600,Order,C
0090040737,Invoice,M
0087000741,Delivery,J
0015000347,Inquiry,A
0005001455,Quotation,B
0015000348,Inquiry,A
0005001456,Quotation,B
0005004601,Order,C
0005004605,Order,C
0090040742,Invoice,M
0087000746,Delivery,J
0005004610,Order,C
0090040746,Invoice,M
0090040687,Invoice,M
0087000681,Delivery,J
0015000267,Inquiry,A
0005001375,Quotation,B
0015000271,Inquiry,A
0005001379,Quotation,B
0015000272,Inquiry,A
0005001380,Quotation,B
0005004544,Order,C
0015000273,Inquiry,A
0005001381,Quotation,B
0090040691,Invoice,M
0015000274,Inquiry,A
0005001382,Quotation,B
0005004546,Order,C
0090040692,Invoice,M
0087000687,Delivery,J
0015000275,Inquiry,A
0005001383,Quotation,B
0015000276,Inquiry,A
0005001384,Quotation,B
0005004548,Order,C
0090040694,Invoice,M
0087000689,Delivery,J
0015000278,Inquiry,A
0005001386,Quotation,B
0087000789,Delivery,J
0005004649,Order,C
0090040785,Invoice,M
0087000790,Delivery,J
0005004650,Order,C
0090040786,Invoice,M
0087000791,Delivery,J
0005002014,Order,C
2300022000,Goods Movement,R
4900005686,Goods Movement,R
0087000022,Delivery,J
0005002017,Order,C
2300025000,Goods Movement,R
4900005689,Goods Movement,R
0087000025,Delivery,J
2300047000,Goods Movement,R
4900005710,Goods Movement,R
2300048000,Goods Movement,R
4900005711,Goods Movement,R
3048999004,Goods Movement,R
3048999005,Goods Movement,R
3048999006,Goods Movement,R
3048999007,Goods Movement,R
0080018999,Delivery,J
0090040516,Invoice,M
0087000751,Delivery,J
0005004611,Order,C
0090040747,Invoice,M
0087000752,Delivery,J
0090040748,Invoice,M
0005004617,Order,C
0090040753,Invoice,M
0087000758,Delivery,J
0005004618,Order,C
0090040754,Invoice,M
0087000759,Delivery,J
0005004621,Order,C
0090040757,Invoice,M
0087000762,Delivery,J
0005004622,Order,C
0090040758,Invoice,M
0005004623,Order,C
0090040759,Invoice,M
0087000764,Delivery,J
4900005906,Goods Movement,R
0087000427,Delivery,J
4900005910,Goods Movement,R
4900005932,Goods Movement,R
4900005936,Goods Movement,R
0005004248,Order,C
4900005937,Goods Movement,R
0087000391,Delivery,J
0005004226,Order,C
4900005944,Goods Movement,R
0087000369,Delivery,J
0005004234,Order,C
4900005945,Goods Movement,R
0087000377,Delivery,J
0005004333,Order,C
4900000006,Goods Movement,R
0087000473,Delivery,J
0005004347,Order,C
4900000014,Goods Movement,R
0087000488,Delivery,J
0005004433,Order,C
0090574000,Goods Movement,R
4900000023,Goods Movement,R
0087000574,Delivery,J
0005004477,Order,C
4900000038,Goods Movement,R
0087000618,Delivery,J
0005004481,Order,C
4900000042,Goods Movement,R
0087000622,Delivery,J
4900000103,Goods Movement,R
4900000104,Goods Movement,R
2300020000,Goods Movement,R
4900005684,Goods Movement,R
2300041000,Goods Movement,R
4900005704,Goods Movement,R
0005002037,Order,C
2300045000,Goods Movement,R
4900005708,Goods Movement,R
0087000045,Delivery,J
0005002020,Order,C
2300028000,Goods Movement,R
4900005692,Goods Movement,R
0087000028,Delivery,J
0005002024,Order,C
2300032000,Goods Movement,R
4900005695,Goods Movement,R
0087000032,Delivery,J
0005002028,Order,C
2300036000,Goods Movement,R
4900005699,Goods Movement,R
0087000036,Delivery,J
0005002029,Order,C
2300037000,Goods Movement,R
4900005700,Goods Movement,R
0087000037,Delivery,J
0005004500,Order,C
4900000059,Goods Movement,R
0087000641,Delivery,J
0005004505,Order,C
4900000063,Goods Movement,R
0087000646,Delivery,J
4900000109,Goods Movement,R
4900000122,Goods Movement,R
0005001016,Quotation,B
0005004222,Order,C
0005001017,Quotation,B
0005004223,Order,C
0005001019,Quotation,B
0005001022,Quotation,B
0005004231,Order,C
0005001023,Quotation,B
0005001024,Quotation,B
0005001026,Quotation,B
0005004237,Order,C
0005001028,Quotation,B
0005004239,Order,C
0005001030,Quotation,B
0005001031,Quotation,B
0005004245,Order,C
0005001032,Quotation,B
0005004250,Order,C
0005001034,Quotation,B
0005001035,Quotation,B
0005004257,Order,C
0005001040,Quotation,B
0005004265,Order,C
0005002019,Order,C
2300027000,Goods Movement,R
4900005691,Goods Movement,R
0087000027,Delivery,J
0005002027,Order,C
2300035000,Goods Movement,R
4900005698,Goods Movement,R
0087000035,Delivery,J
0005004583,Order,C
4900000127,Goods Movement,R
0087000724,Delivery,J
0005004585,Order,C
4900000129,Goods Movement,R
0087000726,Delivery,J
4900000131,Goods Movement,R
4900000135,Goods Movement,R
0087000733,Delivery,J
4900000142,Goods Movement,R
4900000151,Goods Movement,R
0100751000,Goods Movement,R
0005004615,Order,C
4900000156,Goods Movement,R
0100756000,Goods Movement,R
0087000756,Delivery,J
4900000159,Goods Movement,R
0100759000,Goods Movement,R
4900000163,Goods Movement,R
0090040496,Invoice,M
0005002032,Order,C
0090040500,Invoice,M
0087000040,Delivery,J
0090040505,Invoice,M
0005002038,Order,C
0090040506,Invoice,M
0087000046,Delivery,J
0005004240,Order,C
4900005923,Goods Movement,R
0087000383,Delivery,J
0005004217,Order,C
4900005925,Goods Movement,R
0087000360,Delivery,J
4900005926,Goods Movement,R
0087000380,Delivery,J
0005004209,Order,C
4900005927,Goods Movement,R
0087000352,Delivery,J
0005004243,Order,C
4900005946,Goods Movement,R
0015000194,Inquiry,A
0005001302,Quotation,B
0090040641,Invoice,M
0015000195,Inquiry,A
0005001303,Quotation,B
0005004487,Order,C
0090040642,Invoice,M
0087000628,Delivery,J
0015000197,Inquiry,A
0005001305,Quotation,B
0005004488,Order,C
0090040643,Invoice,M
0087000629,Delivery,J
0015000198,Inquiry,A
0005001306,Quotation,B
0005004489,Order,C
0090040644,Invoice,M
