VBELV,POSNV,VBELN,POSNN,VBTYP_N,VBTYP_V,RFMNG,MEINS,RFWRT,WAERS,ERDAT,ERZET,MATNR,BWART,AEDAT,FKTYP
0000019095,000010,4900005532,000001,R,C,10.0,ST,5744.5,EUR,20200508,052512,P-102,601,00000000, 
0080018936,000010,4900005532,000001,R,J,10.0,ST,5744.5,EUR,20200508,052512,P-102,601,00000000, 
0000019095,000010,0090040451,000010,M,C,10.0,ST,802800.0,EUR,20200508,052519, , ,00000000,L
0080018936,000010,0090040451,000010,M,J,10.0,ST,802800.0,EUR,20200508,052519, , ,00000000,L
0080018941,000010,0090040453,000010,M,J,1.0,ST,6800.0,EUR,20200509,073738, , ,00000000,L
0080018941,000020,0090040453,000020,M,J,2.0,ST,9360.0,EUR,20200509,073738, , ,00000000,L
0000019107,000010,0090040454,000010,M,C,1.0,ST,6800.0,EUR,20200509,073800, , ,00000000,L
0080018945,000010,0090040454,000010,M,J,1.0,ST,6800.0,EUR,20200509,073800, , ,00000000,L
0000019106,000010,0090040455,000010,M,C,2.0,ST,13600.0,EUR,20200509,073824, , ,00000000,L
0080018944,000010,0090040455,000010,M,J,2.0,ST,13600.0,EUR,20200509,073824, , ,00000000,L
0000019104,000010,0090040456,000010,M,C,5.0,ST,34000.0,EUR,20200509,073831, , ,00000000,L
0080018939,000010,0090040456,000010,M,J,5.0,ST,34000.0,EUR,20200509,073831, , ,00000000,L
0000019103,000010,0090040457,000010,M,C,1.0,ST,1000.0,EUR,20200509,073932, , ,00000000,L
0080018943,000010,0090040457,000010,M,J,1.0,ST,1000.0,EUR,20200509,073932, , ,00000000,L
0000019102,000010,0090040458,000010,M,C,1.0,ST,6760.0,EUR,20200509,074059, , ,00000000,L
0080018942,000010,0090040458,000010,M,J,1.0,ST,6760.0,EUR,20200509,074059, , ,00000000,L
0000019130,000010,0080018949,000010,J,C,1.0,ST,0.0, ,20200630,060301, ,601,00000000, 
0000019132,000010,0080018950,000010,J,C,1.0,ST,0.0, ,20200630,063543, ,601,00000000, 
0000019134,000020,0080018951,000010,J,C,1.0,ST,0.0, ,20200630,070921, , ,00000000, 
0000019134,000020,1828951000,161018,R,C,1.0,ST,0.0,EUR,20200630,071018,000000000000000757, ,00000000, 
0010000089,000000,0020000276,000000,B,A,0.0, ,600000.0,EUR,20200629,053748, , ,00000000, 
0010000089,000010,0020000276,000010,B,A,1.0,ST,600000.0,EUR,20200629,053748, , ,00000000, 
0010000089,000010,0000019125,000010,C,A,1.0,ST,600000.0,EUR,20200629,054246, , ,00000000, 
0020000276,000000,0000019125,000000,C,B,0.0, ,600000.0,EUR,20200629,054246, , ,00000000, 
0020000276,000010,0000019125,000010,C,B,1.0,ST,600000.0,EUR,20200629,054246, , ,00000000, 
0080018951,000010,1828951000,161018,R,J,1.0,ST,0.0,EUR,20200630,071018,000000000000000757, ,00000000, 
0000019134,000020,0090040459,000020,M,C,1.0,ST,10.0,EUR,20200630,071137, , ,00000000,L
0080018951,000010,0090040459,000020,M,J,1.0,ST,10.0,EUR,20200630,071137, , ,00000000,L
0000019136,000020,4500019826,000010,V,C,5.0,ST,78.69,EUR,20200630,111348, , ,20200630, 
0000019128,000010,0080018952,000010,J,C,1.0,ST,0.0, ,20200703,064214, ,601,00000000, 
0000019155,000010,0080018954,000010,J,C,1.0,ST,0.0, ,20200703,065553, , ,00000000, 
0000019154,000010,0090040460,000010,M,C,1.0,ST,10.0,EUR,20200703,065804, , ,00000000,L
0080018953,000010,0090040460,000010,M,J,1.0,ST,10.0,EUR,20200703,065804, , ,00000000,L
0000019156,000010,0080018955,000010,J,C,1.0,ST,0.0, ,20200703,071606, , ,00000000, 
0000019156,000010,0090040461,000010,M,C,1.0,ST,10.0,EUR,20200703,071652, , ,00000000,L
0080018955,000010,0090040461,000010,M,J,1.0,ST,10.0,EUR,20200703,071652, , ,00000000,L
0000019157,000010,0080018956,000010,J,C,1.0,ST,0.0, ,20200703,071755, , ,00000000, 
0000019157,000010,0090040462,000010,M,C,1.0,ST,10.0,EUR,20200703,071805, , ,00000000,L
0080018956,000010,0090040462,000010,M,J,1.0,ST,10.0,EUR,20200703,071805, , ,00000000,L
0000019158,000010,0080018957,000010,J,C,1.0,ST,0.0, ,20200703,073443, , ,00000000, 
0000019158,000010,0090040463,000010,M,C,1.0,ST,10.0,EUR,20200703,074143, , ,00000000,L
0000019078,000010,0080018922,000010,J,C,4.0,ST,0.0, ,20200327,223447, ,601,00000000, 
0000019154,000010,0080018953,000010,J,C,1.0,ST,0.0, ,20200703,064414, , ,00000000, 
0080018957,000010,0090040463,000010,M,J,1.0,ST,10.0,EUR,20200703,074143, , ,00000000,L
0180000364,000010,0000004084,000001,X,7,16.0,PC,0.0, ,20200708,052627, , ,00000000, 
0180000365,000010,0000004088,000001,X,7,33.0,PC,0.0, ,20200708,062905, , ,00000000, 
0000019165,000010,0080018958,000010,J,C,10.0,ST,0.0, ,20200708,085633, , ,00000000, 
0180000366,000010,0000004091,000001,X,7,2.0,ST,0.0, ,20200709,004123, , ,00000000, 
0000019166,000010,0080018959,000010,J,C,1.0,ST,0.0, ,20200709,065859, ,601,00000000, 
0005000013,000010,0080018960,000010,J,C,1.0,ST,0.0, ,20200709,071036, ,601,00000000, 
0005000014,000010,0080018961,000010,J,C,1.0,ST,0.0, ,20200709,071828, ,601,00000000, 
0005000015,000010,0080018962,000010,J,C,1.0,ST,0.0, ,20200709,072141, ,601,00000000, 
0005000016,000010,0080018963,000010,J,C,1.0,ST,0.0, ,20200709,072250, ,601,00000000, 
0005000017,000010,0080018964,000010,J,C,1.0,ST,0.0, ,20200709,072433, ,601,00000000, 
0005000018,000010,0080018965,000010,J,C,1.0,ST,0.0, ,20200709,072643, ,601,00000000, 
0005000024,000010,0080018966,000010,J,C,1.0,ST,0.0, ,20200709,074657, ,601,00000000, 
0005000026,000010,0087000001,000010,J,C,1.0,ST,0.0, ,20200709,095203, ,601,00000000, 
0000019167,000010,0080018967,000010,J,C,1.0,ST,0.0, ,20200709,103139, ,601,00000000, 
0000019168,000010,0080018968,000010,J,C,10.0,ST,0.0, ,20200709,103244, , ,00000000, 
0000019169,000010,0080018969,000010,J,C,1.0,ST,0.0, ,20200709,104852, ,601,00000000, 
0000019170,000040,0080018970,000010,J,C,1.0,ST,0.0, ,20200709,105858, ,601,00000000, 
0000019173,000010,0080018971,000010,J,C,1.0,ST,0.0, ,20200709,123715, ,601,00000000, 
0000019174,000010,0080018972,000010,J,C,1.0,ST,0.0, ,20200709,125418, ,601,00000000, 
0080018972,000010,0000004141,000001,Q,J,1.0,ST,0.0, ,20200709,130344,P-100, ,00000000, 
0000019174,000010,4900005628,000001,R,C,1.0,ST,706.62,EUR,20200709,131301,P-100,601,00000000, 
0080018972,000010,4900005628,000001,R,J,1.0,ST,706.62,EUR,20200709,131301,P-100,601,00000000, 
0000019174,000010,0090040464,000010,M,C,1.0,ST,2600.0,EUR,20200709,131336, , ,00000000,L
0080018972,000010,0090040464,000010,M,J,1.0,ST,2600.0,EUR,20200709,131336, , ,00000000,L
0000019175,000010,0080018973,000010,J,C,1.0,ST,0.0, ,20200709,224759, ,601,00000000, 
0080018973,000010,0000004142,000001,Q,J,1.0,ST,0.0, ,20200709,230740,P-100, ,00000000, 
0000019175,000010,4900005629,000001,R,C,1.0,ST,706.62,EUR,20200709,231528,P-100,601,00000000, 
0080018973,000010,4900005629,000001,R,J,1.0,ST,706.62,EUR,20200709,231528,P-100,601,00000000, 
0180000367,000010,0000004118,000001,X,7,2.0,ST,0.0, ,20200710,225541, , ,00000000, 
0180000367,000010,0000004119,000002,X,7,2.0,ST,0.0, ,20200710,225541, , ,00000000, 
0180000367,000010,0000004120,000003,X,7,2.0,ST,0.0, ,20200710,225541, , ,00000000, 
0180000367,000010,0000004121,000004,X,7,2.0,ST,0.0, ,20200710,225541, , ,00000000, 
0180000367,000010,0000004122,000005,X,7,2.0,ST,0.0, ,20200710,225541, , ,00000000, 
0180000369,000010,0000004123,000002,X,7,2.0,ST,0.0, ,20200711,003048, , ,00000000, 
0180000369,000010,0000004124,000003,X,7,2.0,ST,0.0, ,20200711,003048, , ,00000000, 
0180000369,000010,0000004125,000004,X,7,2.0,ST,0.0, ,20200711,003048, , ,00000000, 
0180000369,000010,0000004126,000005,X,7,2.0,ST,0.0, ,20200711,003048, , ,00000000, 
0180000369,000010,0000004127,000006,X,7,2.0,ST,0.0, ,20200711,003048, , ,00000000, 
0005000028,000010,0087000002,000010,J,C,1.0,ST,0.0, ,20200711,012601, ,601,00000000, 
0087000002,000010,0000004151,000001,Q,J,1.0,ST,0.0, ,20200711,012944,P-100, ,00000000, 
0005000028,000010,4900005630,000001,R,C,1.0,ST,706.62,EUR,20200711,014721,P-100,601,00000000, 
0087000002,000010,4900005630,000001,R,J,1.0,ST,706.62,EUR,20200711,014721,P-100,601,00000000, 
0000019068,000010,0080018917,000010,J,C,2.0,ST,0.0, ,20200326,080545, ,601,00000000, 
0080018917,000010,0000004101,000001,Q,J,2.0,ST,0.0, ,20200326,081230,R-F100, ,00000000, 
0000019068,000010,4900005426,000001,R,C,2.0,ST,0.0,EUR,20200326,081248,R-F100,601,00000000, 
0080018917,000010,4900005426,000001,R,J,2.0,ST,0.0,EUR,20200326,081248,R-F100,601,00000000, 
0020000271,000010,0000019071,000010,C,B,1.0,ST,920.0,EUR,20200326,235112, , ,00000000, 
0020000274,000000,0000019074,000000,C,B,0.0, ,800.0,EUR,20200327,081214, , ,00000000, 
0020000274,000010,0000019074,000010,C,B,1.0,ST,800.0,EUR,20200327,081215, , ,00000000, 
0000019073,000010,0080018919,000010,J,C,1.0,ST,0.0, ,20200327,081059, ,601,00000000, 
0000019073,000010,4900005439,000001,R,C,1.0,ST,0.0,EUR,20200327,081139,T-VPC98,601,00000000, 
0080018919,000010,20200327,081139,Q,J,1.0,ST,0.0, ,20200327,081139, , ,00000000, 
0080018919,000010,4900005439,000001,R,J,1.0,ST,0.0,EUR,20200327,081139,T-VPC98,601,00000000, 
0000019073,000010,0090040439,000010,M,C,1.0,ST,212.0,EUR,20200327,081207, , ,00000000,L
0080018919,000010,0090040439,000010,M,J,1.0,ST,212.0,EUR,20200327,081207, , ,00000000,L
0000019077,000010,0080018920,000010,J,C,2.0,ST,0.0, ,20200327,131005, ,601,00000000, 
0080018920,000010,0000005172,000001,Q,J,2.0,ST,0.0, ,20200327,133521,T-VPC00, ,00000000, 
0000019077,000010,0090040440,000010,M,C,2.0,ST,1600.0,EUR,20200327,134454, , ,00000000,L
0080018920,000010,0090040440,000010,M,J,2.0,ST,1600.0,EUR,20200327,134454, , ,00000000,L
0080018938,000010,0000004123,000001,Q,J,10.0,ST,0.0, ,20200509,063020,P-102, ,00000000, 
0000019080,000010,0090040441,000010,M,C,6.0,ST,600.0,EUR,20200328,041137, , ,00000000,L
0080018924,000010,0090040441,000010,M,J,6.0,ST,600.0,EUR,20200328,041137, , ,00000000,L
0000019086,000010,0090040443,000010,M,C,10.0,ST,4900.0,EUR,20200507,075608, , ,00000000,O
0080018927,000010,0090040443,000010,M,J,10.0,ST,4900.0,EUR,20200507,075608, , ,00000000,O
0000019096,000010,0080018938,000010,J,C,10.0,ST,0.0, ,20200509,062745, ,601,00000000, 
0000019104,000010,0080018939,000010,J,C,5.0,ST,0.0, ,20200509,070949, ,601,00000000, 
0000019101,000010,0080018940,000010,J,C,1.0,ST,0.0, ,20200509,071328, ,601,00000000, 
0000019105,000010,0080018941,000010,J,C,1.0,ST,0.0, ,20200509,071310, ,601,00000000, 
0000019105,000020,0080018941,000020,J,C,2.0,ST,0.0, ,20200509,071310, ,601,00000000, 
0000019102,000010,0080018942,000010,J,C,1.0,ST,0.0, ,20200509,070845, ,601,00000000, 
0000019103,000010,0080018943,000010,J,C,1.0,ST,0.0, ,20200509,071331, ,601,00000000, 
0080018941,000010,0000004124,000001,Q,J,1.0,ST,0.0, ,20200509,071759,P-102, ,00000000, 
0080018941,000020,0000004124,000002,Q,J,2.0,ST,0.0, ,20200509,071759,P-101, ,00000000, 
0080018940,000010,0000004126,000001,Q,J,1.0,ST,0.0, ,20200509,071915,P-102, ,00000000, 
0080018943,000010,0000004127,000001,Q,J,1.0,ST,0.0, ,20200509,071926,P-102, ,00000000, 
0080018942,000010,0000004128,000001,Q,J,1.0,ST,0.0, ,20200509,072009,P-102, ,00000000, 
0000019101,000010,4900005535,000001,R,C,1.0,ST,574.45,EUR,20200509,072156,P-102,601,00000000, 
0080018940,000010,4900005535,000001,R,J,1.0,ST,574.45,EUR,20200509,072156,P-102,601,00000000, 
0000019105,000010,4900005536,000001,R,C,1.0,ST,574.45,EUR,20200509,072158,P-102,601,00000000, 
0000019105,000020,4900005536,000002,R,C,2.0,ST,1265.08,EUR,20200509,072158,P-101,601,00000000, 
0080018941,000010,4900005536,000001,R,J,1.0,ST,574.45,EUR,20200509,072158,P-102,601,00000000, 
0080018941,000020,4900005536,000002,R,J,2.0,ST,1265.08,EUR,20200509,072158,P-101,601,00000000, 
0000019102,000010,4900005537,000001,R,C,1.0,ST,574.45,EUR,20200509,072203,P-102,601,00000000, 
0080018942,000010,4900005537,000001,R,J,1.0,ST,574.45,EUR,20200509,072203,P-102,601,00000000, 
0010000088,000000,0020000275,000000,B,A,0.0, ,800000.0,EUR,20200628,110854, , ,00000000, 
0000019110,000010,0080018948,000010,J,C,10.0,ST,0.0, ,20200615,060353, ,601,00000000, 
0010000088,000010,0020000275,000010,B,A,1.0,ST,800000.0,EUR,20200628,110854, , ,00000000, 
0080018925,000010,0000004111,000001,Q,J,10.0,ST,0.0, ,20200506,052213,P-102, ,00000000, 
0000019083,000010,0080018925,000010,J,C,10.0,ST,0.0, ,20200506,045142, ,601,00000000, 
0080018925,000010,20200506,051450,Q,J,0.0,ST,0.0, ,20200506,051450, , ,00000000, 
0000019086,000010,0080018927,000010,J,C,10.0,ST,0.0, ,20200507,074013, ,601,00000000, 
0080018927,000010,20200507,074049,Q,J,0.0,ST,0.0, ,20200507,074049, , ,00000000, 
0080018927,000010,0000004113,000001,Q,J,10.0,ST,0.0, ,20200507,075308,P-105, ,00000000, 
0000019086,000010,4900005523,000001,R,C,10.0,ST,2400.0,EUR,20200507,075405,P-105,601,00000000, 
0080018927,000010,4900005523,000001,R,J,10.0,ST,2400.0,EUR,20200507,075405,P-105,601,00000000, 
0000019088,000010,0080018929,000010,J,C,1.0,ST,0.0, ,20200507,131557, ,601,00000000, 
0080018929,000010,0000004115,000001,Q,J,1.0,ST,0.0, ,20200507,131706,P-105, ,00000000, 
0000019088,000010,4900005525,000001,R,C,1.0,ST,240.0,EUR,20200507,131720,P-105,601,00000000, 
0080018929,000010,4900005525,000001,R,J,1.0,ST,240.0,EUR,20200507,131720,P-105,601,00000000, 
0000019089,000010,0080018930,000010,J,C,5.0,ST,0.0, ,20200508,005216, ,601,00000000, 
0080018930,000010,0000004116,000001,Q,J,5.0,ST,0.0, ,20200508,005525,P-105, ,00000000, 
0000019089,000010,4900005526,000001,R,C,5.0,ST,1200.0,EUR,20200508,005542,P-105,601,00000000, 
0080018930,000010,4900005526,000001,R,J,5.0,ST,1200.0,EUR,20200508,005542,P-105,601,00000000, 
0000019089,000010,0090040445,000010,M,C,5.0,ST,2500.0,EUR,20200508,010311, , ,00000000,L
0080018930,000010,0090040445,000010,M,J,5.0,ST,2500.0,EUR,20200508,010311, , ,00000000,L
0000019090,000010,0080018931,000010,J,C,5.0,ST,0.0, ,20200508,014747, ,601,00000000, 
0080018931,000010,0000004117,000001,Q,J,5.0,ST,0.0, ,20200508,014811,P-101, ,00000000, 
0000019090,000010,4900005527,000001,R,C,5.0,ST,3162.7,EUR,20200508,014825,P-101,601,00000000, 
0080018931,000010,4900005527,000001,R,J,5.0,ST,3162.7,EUR,20200508,014825,P-101,601,00000000, 
0000019090,000010,0090040446,000010,M,C,5.0,ST,13396.0,EUR,20200508,014850, , ,00000000,L
0080018931,000010,0090040446,000010,M,J,5.0,ST,13396.0,EUR,20200508,014850, , ,00000000,L
0000019091,000010,0080018932,000010,J,C,10.0,ST,0.0, ,20200508,021249, ,601,00000000, 
0080018932,000010,0000004118,000001,Q,J,10.0,ST,0.0, ,20200508,021314,P-101, ,00000000, 
0000019091,000010,4900005528,000001,R,C,10.0,ST,6325.4,EUR,20200508,021328,P-101,601,00000000, 
0080018932,000010,4900005528,000001,R,J,10.0,ST,6325.4,EUR,20200508,021328,P-101,601,00000000, 
0000019091,000010,0090040447,000010,M,C,10.0,ST,28688.24,EUR,20200508,021344, , ,00000000,L
0080018932,000010,0090040447,000010,M,J,10.0,ST,28688.24,EUR,20200508,021344, , ,00000000,L
0000019092,000010,4900005529,000001,R,C,2.0,ST,1265.08,EUR,20200508,040658,P-101,601,00000000, 
0080018933,000010,4900005529,000001,R,J,2.0,ST,1265.08,EUR,20200508,040658,P-101,601,00000000, 
0000019092,000010,0090040448,000010,M,C,2.0,ST,5570.06,EUR,20200508,040759, , ,00000000,L
0080018933,000010,0090040448,000010,M,J,2.0,ST,5570.06,EUR,20200508,040759, , ,00000000,L
0000019093,000010,0080018934,000010,J,C,30.0,ST,0.0, ,20200508,051745, ,601,00000000, 
0080018934,000010,0000004120,000001,Q,J,30.0,ST,0.0, ,20200508,051812,P-101, ,00000000, 
0000019093,000010,4900005530,000001,R,C,30.0,ST,18976.2,EUR,20200508,051827,P-101,601,00000000, 
0080018934,000010,4900005530,000001,R,J,30.0,ST,18976.2,EUR,20200508,051827,P-101,601,00000000, 
0000019093,000010,0090040449,000010,M,C,30.0,ST,87672.24,EUR,20200508,051906, , ,00000000,L
0080018934,000010,0090040449,000010,M,J,30.0,ST,87672.24,EUR,20200508,051906, , ,00000000,L
0000019094,000010,0080018935,000010,J,C,10.0,ST,0.0, ,20200508,052133, ,601,00000000, 
0080018935,000010,0000004121,000001,Q,J,10.0,ST,0.0, ,20200508,052154,P-102, ,00000000, 
0000019094,000010,4900005531,000001,R,C,10.0,ST,5744.5,EUR,20200508,052205,P-102,601,00000000, 
0080018935,000010,4900005531,000001,R,J,10.0,ST,5744.5,EUR,20200508,052205,P-102,601,00000000, 
0000019094,000010,0090040450,000010,M,C,10.0,ST,302800.0,EUR,20200508,052212, , ,00000000,L
 ,000001,0090000249,000001,P,2,0.0,ST,0.0,DEM,19950623,103844, , ,00000000,X
 ,000002,0090000249,000002,P,2,0.0,ST,8.0,DEM,19950623,103844, , ,00000000,X
0000000022,000001,0090031402,000001,M,2,1.0,ST,900.0,EUR,20020107,120555, , ,00000000,X
0000000022,000002,0090031402,000002,M,2,1.0,ST,50.0,EUR,20020107,120555, , ,00000000,X
0000000022,000003,0090031402,000003,M,2,1.0,ST,800.0,EUR,20020107,120555, , ,00000000,X
0000000023,000001,0090030560,000001,M,2,1.0,ST,1000.0,EUR,20011123,153005, , ,00000000,X
0000000040,000010,0049000062,000001,R,W,50.0,ST,0.0, ,19941129,162457,C-200,231,00000000, 
0000000040,000010,0049000185,000001,R,W,100.0,ST,0.0, ,19941214,174119,C-200,231,00000000, 
0000000061,000001,0090031403,000001,M,2,1.0,ST,600.0,EUR,20020107,120622, , ,00000000,X
0000000062,000001,0090031404,000001,M,2,1.0,ST,1000.0,EUR,20020107,120634, , ,00000000,X
0000000082,000001,0090031575,000001,M,2,1.0,ST,800.0,EUR,20020114,171452, , ,00000000,X
0000000083,000001,0090031579,000001,M,2,1.0,ST,800.0,EUR,20020114,171747, , ,00000000,X
0000000084,000001,0090031578,000001,M,2,1.0,ST,800.0,EUR,20020114,171709, , ,00000000,X
0000000085,000001,0090031577,000001,M,2,1.0,ST,800.0,EUR,20020114,171658, , ,00000000,X
0000000087,000001,0090031576,000001,M,2,1.0,ST,800.0,EUR,20020114,171637, , ,00000000,X
0000000161,000000,0070000110,000000,L,2,0.0, ,9600.0,ARS,20120724,000900, , ,00000000, 
0000000161,000010,0070000110,000010,L,2,1.0,LE,6867.0,ARS,20120724,000900, , ,00000000, 
0000000161,000010,0090039041,000010,P,2,1.0,LE,6867.0,ARS,20120731,170942, , ,00000000,A
0000000161,000020,0070000110,000020,L,2,1.0,ST,2733.0,ARS,20120724,000900, , ,00000000, 
0000000161,000020,0090039041,000020,P,2,1.0,ST,2733.0,ARS,20120731,170942, , ,00000000,A
0000000162,000000,0070000115,000000,L,2,0.0, ,3420.0,MXN,20120725,173405, , ,00000000, 
0000000162,000010,0070000115,000010,L,2,1.0,LE,687.0,MXN,20120725,173405, , ,00000000, 
0000000162,000010,0090039042,000010,P,2,1.0,LE,687.0,MXN,20120731,171115, , ,00000000,A
0000000162,000020,0070000115,000020,L,2,1.0,ST,2733.0,MXN,20120725,173405, , ,00000000, 
0000000162,000020,0090039042,000020,P,2,1.0,ST,2733.0,MXN,20120731,171115, , ,00000000,A
0000000163,000000,0070000116,000000,L,2,0.0, ,195.0,EUR,20120730,184449, , ,00000000, 
0000000163,000010,0070000116,000010,L,2,1.0,LE,39.0,EUR,20120730,184449, , ,00000000, 
0000000163,000010,0090039043,000010,P,2,1.0,LE,39.0,EUR,20120731,171148, , ,00000000,A
0000000163,000020,0070000116,000020,L,2,1.0,ST,156.0,EUR,20120730,184449, , ,00000000, 
0000000163,000020,0090039043,000020,P,2,1.0,ST,156.0,EUR,20120731,171148, , ,00000000,A
0000000164,000000,0070000118,000000,L,2,0.0, ,7962.0,RUB,20120731,165504, , ,00000000, 
0000000164,000010,0070000118,000010,L,2,1.0,LE,1599.0,RUB,20120731,165504, , ,00000000, 
0000000164,000010,0090039050,000010,P,2,1.0,LE,1599.0,RUB,20120731,171208, , ,00000000,A
0000000164,000020,0070000118,000020,L,2,1.0,ST,6363.0,RUB,20120731,165504, , ,00000000, 
0000000164,000020,0090039050,000020,P,2,1.0,ST,6363.0,RUB,20120731,171208, , ,00000000,A
0000000165,000000,0070000111,000000,L,2,0.0, ,195.0,EUR,20120724,004248, , ,00000000, 
0000000165,000010,0070000111,000010,L,2,1.0,ST,156.0,EUR,20120724,004248, , ,00000000, 
0000000165,000010,0090039045,000010,P,2,1.0,ST,156.0,EUR,20120731,171155, , ,00000000,A
0000000165,000020,0070000111,000020,L,2,1.0,LE,39.0,EUR,20120724,004248, , ,00000000, 
0000000165,000020,0090039045,000020,P,2,1.0,LE,39.0,EUR,20120731,171155, , ,00000000,A
0000000166,000000,0070000117,000000,L,2,0.0, ,161.0,GBP,20120730,184652, , ,00000000, 
0000000166,000010,0070000117,000010,L,2,1.0,LE,32.0,GBP,20120730,184652, , ,00000000, 
